지점,지점명,일시,pm10
108,서울,2021-03-22 1:00,35
108,서울,2021-03-22 2:00,37
108,서울,2021-03-22 3:00,36
108,서울,2021-03-22 4:00,38
108,서울,2021-03-22 5:00,47
108,서울,2021-03-22 6:00,45
108,서울,2021-03-22 7:00,45
108,서울,2021-03-22 8:00,38
108,서울,2021-03-22 9:00,25
108,서울,2021-03-22 10:00,33
108,서울,2021-03-22 11:00,43
108,서울,2021-03-22 12:00,44
108,서울,2021-03-22 13:00,43
108,서울,2021-03-22 14:00,48
108,서울,2021-03-22 15:00,49
108,서울,2021-03-22 16:00,53
108,서울,2021-03-22 17:00,35
108,서울,2021-03-22 18:00,43
108,서울,2021-03-22 19:00,65
108,서울,2021-03-22 20:00,67
108,서울,2021-03-22 21:00,76
108,서울,2021-03-22 22:00,74
108,서울,2021-03-22 23:00,97
108,서울,2021-03-23 0:00,95
108,서울,2021-03-23 1:00,102
108,서울,2021-03-23 2:00,96
108,서울,2021-03-23 3:00,95
108,서울,2021-03-23 4:00,102
108,서울,2021-03-23 5:00,90
108,서울,2021-03-23 6:00,100
108,서울,2021-03-23 7:00,88
108,서울,2021-03-23 8:00,89
108,서울,2021-03-23 9:00,63
108,서울,2021-03-23 10:00,76
108,서울,2021-03-23 11:00,114
108,서울,2021-03-23 12:00,125
108,서울,2021-03-23 13:00,136
108,서울,2021-03-23 14:00,127
108,서울,2021-03-23 15:00,140
108,서울,2021-03-23 16:00,156
108,서울,2021-03-23 17:00,139
108,서울,2021-03-23 18:00,137
108,서울,2021-03-23 19:00,136
108,서울,2021-03-23 20:00,113
108,서울,2021-03-23 21:00,97
108,서울,2021-03-23 22:00,89
108,서울,2021-03-23 23:00,86
108,서울,2021-03-24 0:00,101
108,서울,2021-03-24 1:00,117
108,서울,2021-03-24 2:00,121
108,서울,2021-03-24 3:00,129
108,서울,2021-03-24 4:00,123
108,서울,2021-03-24 5:00,123
108,서울,2021-03-24 6:00,134
108,서울,2021-03-24 7:00,140
108,서울,2021-03-24 8:00,119
108,서울,2021-03-24 9:00,76
108,서울,2021-03-24 10:00,85
108,서울,2021-03-24 11:00,87
108,서울,2021-03-24 12:00,53
108,서울,2021-03-24 13:00,57
108,서울,2021-03-24 14:00,86
108,서울,2021-03-24 15:00,107
108,서울,2021-03-24 16:00,85
108,서울,2021-03-24 17:00,83
108,서울,2021-03-24 18:00,81
108,서울,2021-03-24 19:00,77
108,서울,2021-03-24 20:00,49
108,서울,2021-03-24 21:00,47
108,서울,2021-03-24 22:00,47
108,서울,2021-03-24 23:00,52
108,서울,2021-03-25 0:00,51
108,서울,2021-03-25 1:00,71
108,서울,2021-03-25 2:00,55
108,서울,2021-03-25 3:00,65
108,서울,2021-03-25 4:00,63
108,서울,2021-03-25 5:00,63
108,서울,2021-03-25 6:00,68
108,서울,2021-03-25 7:00,75
108,서울,2021-03-25 8:00,70
108,서울,2021-03-25 9:00,39
108,서울,2021-03-25 10:00,24
108,서울,2021-03-25 11:00,42
108,서울,2021-03-25 12:00,86
108,서울,2021-03-25 13:00,115
108,서울,2021-03-25 14:00,123
108,서울,2021-03-25 15:00,127
108,서울,2021-03-25 16:00,129
108,서울,2021-03-25 17:00,142
108,서울,2021-03-25 18:00,153
108,서울,2021-03-25 19:00,148
108,서울,2021-03-25 20:00,122
108,서울,2021-03-25 21:00,113
108,서울,2021-03-25 22:00,128
108,서울,2021-03-25 23:00,127
108,서울,2021-03-26 0:00,124
108,서울,2021-03-26 1:00,155
108,서울,2021-03-26 2:00,168
108,서울,2021-03-26 3:00,169
108,서울,2021-03-26 4:00,159
108,서울,2021-03-26 5:00,167
108,서울,2021-03-26 6:00,167
108,서울,2021-03-26 7:00,175
108,서울,2021-03-26 8:00,219
108,서울,2021-03-26 9:00,208
108,서울,2021-03-26 10:00,181
108,서울,2021-03-26 11:00,171
108,서울,2021-03-26 12:00,184
108,서울,2021-03-26 13:00,167
108,서울,2021-03-26 14:00,141
108,서울,2021-03-26 15:00,143
108,서울,2021-03-26 16:00,102
108,서울,2021-03-26 17:00,134
108,서울,2021-03-26 18:00,111
108,서울,2021-03-26 19:00,86
108,서울,2021-03-26 20:00,167
108,서울,2021-03-26 21:00,163
108,서울,2021-03-26 22:00,154
108,서울,2021-03-26 23:00,147
108,서울,2021-03-27 0:00,168
108,서울,2021-03-27 1:00,172
108,서울,2021-03-27 2:00,177
108,서울,2021-03-27 3:00,123
108,서울,2021-03-27 4:00,103
108,서울,2021-03-27 5:00,105
108,서울,2021-03-27 6:00,109
108,서울,2021-03-27 7:00,97
108,서울,2021-03-27 8:00,97
108,서울,2021-03-27 9:00,94
108,서울,2021-03-27 10:00,101
108,서울,2021-03-27 11:00,104
108,서울,2021-03-27 12:00,92
108,서울,2021-03-27 13:00,124
108,서울,2021-03-27 14:00,129
108,서울,2021-03-27 15:00,149
108,서울,2021-03-27 16:00,119
108,서울,2021-03-27 17:00,95
108,서울,2021-03-27 18:00,83
108,서울,2021-03-27 19:00,82
108,서울,2021-03-27 20:00,73
108,서울,2021-03-27 21:00,66
108,서울,2021-03-28 0:00,61
